Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000026395.17,129.5558867598847,4.3392586183205815,0.7417502758755544,5.850026295168633,4.914953051785615e-09,8.098859638732337e-05
ENSMUSG00000059195.11,300.5534118851646,-3.059440625583158,0.5567339471420257,-5.495336940182451,3.899651259233325e-08,0.0003212922672482336
ENSMUSG00000050299.9,118.94450525170885,-4.701519109954486,0.9093316549467921,-5.170301819339596,2.337162125926219e-07,0.000955878494944827
ENSMUSG00000057036.8,67.6036429739129,-4.851062838876098,0.9382887616573758,-5.17011717193252,2.339472626131867e-07,0.000955878494944827
ENSMUSG00000074115.6,1039.4320428680674,-7.9635344158873735,1.5524057646690428,-5.129802141378365,2.9004687915548824e-07,0.000955878494944827
ENSMUSG00000067038.7,73.86404610022858,-4.414980970436111,0.9063112356531902,-4.87137397922048,1.1082484091218605e-06,0.003043619547585003
ENSMUSG00000032373.16,550.7667955419885,-4.030143269508939,0.8443678005726435,-4.7729712890232525,1.8152767746286622e-06,0.00427316152747587
ENSMUSG00000088025.3,321.77840766021296,-3.8985963582908827,0.8309791395586289,-4.691569466306466,2.711171856369626e-06,0.005584336231157338
ENSMUSG00000022488.10,116.27295978122514,4.3094294440958505,0.9358985976089997,4.604590128786843,4.132790049938534e-06,0.007566679382543018
ENSMUSG00000119476.1,118.0480186448528,-3.23866591811094,0.7247569477716911,-4.468623485526304,7.872456094816137e-06,0.008648155435358688
ENSMUSG00000026420.17,615.6055599862246,-3.8827165350079964,0.8543823327463275,-4.54447193743741,5.507314344902768e-06,0.008648155435358688
ENSMUSG00000074754.5,39.581484433944375,-4.684695363777421,1.0455548652882194,-4.48058300841633,7.443942136479697e-06,0.008648155435358688
ENSMUSG00000064288.5,233.1702733229556,-3.008851479267189,0.6718534550924246,-4.47843418302176,7.51925459769307e-06,0.008648155435358688
ENSMUSG00000060093.7,357.64189294674264,-3.191703372465581,0.7041952144372188,-4.532412755767359,5.831376332238279e-06,0.008648155435358688
ENSMUSG00000045441.6,145.82020569250628,3.329079317136045,0.742657631994725,4.482656844439042,7.371942282839921e-06,0.008648155435358688
